player hand total,player hand texture,dealer face up,player choice,expected value
20,hard,11,stand,2.63
20,hard,11,hit,-22.55
20,hard,11,double,-37.13
20,hard,11,surrender,-16.27
19,hard,11,stand,-4.52
19,hard,11,hit,-20.39
19,hard,11,double,-33.17
19,hard,11,surrender,-16.31
18,hard,11,stand,-11.59
18,hard,11,hit,-18.77
18,hard,11,double,-29.8
18,hard,11,surrender,-16.37
17,hard,11,stand,-16.52
17,hard,11,hit,-17.94
17,hard,11,double,-27.91
17,hard,11,surrender,-16.32
16,hard,11,stand,-18.07
16,hard,11,hit,-17.2
16,hard,11,double,-26.34
16,hard,11,surrender,-16.33
15,hard,11,stand,-18.06
15,hard,11,hit,-16.4
15,hard,11,double,-25.67
15,hard,11,surrender,-16.34
14,hard,11,stand,-18.2
14,hard,11,hit,-15.94
14,hard,11,double,-24.62
14,hard,11,surrender,-16.34
13,hard,11,stand,-18.08
13,hard,11,hit,-15.01
13,hard,11,double,-23.2
13,hard,11,surrender,-16.34
12,hard,11,stand,-18.16
12,hard,11,hit,-14.53
12,hard,11,double,-22.41
12,hard,11,surrender,-16.31
11,hard,11,stand,-18.18
11,hard,11,hit,-5.85
11,hard,11,double,-5.7
11,hard,11,surrender,-16.32
10,hard,11,stand,-17.71
10,hard,11,hit,-7.06
10,hard,11,double,-8.6
10,hard,11,surrender,-16.3
20,soft,11,stand,2.49
20,soft,11,hit,-7.42
20,soft,11,double,-8.34
20,soft,11,surrender,-16.3
19,soft,11,stand,-4.34
19,soft,11,hit,-8.64
19,soft,11,double,-11.66
19,soft,11,surrender,-16.35
18,soft,11,stand,-11.45
18,soft,11,hit,-10.46
18,soft,11,double,-15.06
18,soft,11,surrender,-16.34
17,soft,11,stand,-16.82
17,soft,11,hit,-11.62
17,soft,11,double,-17.23
17,soft,11,surrender,-16.33
16,soft,11,stand,-17.89
16,soft,11,hit,-11.46
16,soft,11,double,-18.36
16,soft,11,surrender,-16.34
15,soft,11,stand,-18.04
15,soft,11,hit,-10.6
15,soft,11,double,-17.9
15,soft,11,surrender,-16.3
14,soft,11,stand,-17.95
14,soft,11,hit,-10.34
14,soft,11,double,-17.27
14,soft,11,surrender,-16.33
13,soft,11,stand,-17.84
13,soft,11,hit,-9.65
13,soft,11,double,-17.66
13,soft,11,surrender,-16.35
12,soft,11,stand,-18.14
12,soft,11,hit,-8.73
12,soft,11,double,-17.57
12,soft,11,surrender,-16.35
9,hard,11,stand,-17.89
9,hard,11,hit,-10.03
9,hard,11,double,-15.69
9,hard,11,surrender,-16.34
8,hard,11,stand,-18.01
8,hard,11,hit,-12.21
8,hard,11,double,-21.9
8,hard,11,surrender,-16.41
7,hard,11,stand,-17.91
7,hard,11,hit,-14.08
7,hard,11,double,-26.63
7,hard,11,surrender,-16.36
6,hard,11,stand,-18.02
6,hard,11,hit,-13.74
6,hard,11,double,-28.06
6,hard,11,surrender,-16.29
5,hard,11,stand,-18.0
5,hard,11,hit,-13.41
5,hard,11,double,-28.08
5,hard,11,surrender,-16.38
4,hard,11,stand,-17.73
4,hard,11,hit,-12.73
4,hard,11,double,-28.38
4,hard,11,surrender,-16.41
20,hard,10,stand,10.86
20,hard,10,hit,-21.5
20,hard,10,double,-40.97
20,hard,10,surrender,-13.48
19,hard,10,stand,-0.59
19,hard,10,hit,-18.55
19,hard,10,double,-35.36
19,hard,10,surrender,-13.48
18,hard,10,stand,-5.91
18,hard,10,hit,-16.74
18,hard,10,double,-31.57
18,hard,10,surrender,-13.45
17,hard,10,stand,-11.75
17,hard,10,hit,-15.37
17,hard,10,double,-28.27
17,hard,10,surrender,-13.47
16,hard,10,stand,-14.54
16,hard,10,hit,-14.16
16,hard,10,double,-26.66
16,hard,10,surrender,-13.47
15,hard,10,stand,-14.37
15,hard,10,hit,-13.83
15,hard,10,double,-24.98
15,hard,10,surrender,-13.45
