player hand total,player hand texture,dealer face up,player choice,expected value
20,hard,11,split,-31.95
18,hard,11,split,-14.64
16,hard,11,split,-18.58
14,hard,11,split,-21.1
12,hard,11,split,-20.83
10,hard,11,split,-21.42
8,hard,11,split,-19.76
6,hard,11,split,-18.86
4,hard,11,split,-17.99
2,hard,11,split,-4.72
20,hard,10,split,-35.47
18,hard,10,split,-10.74
16,hard,10,split,-13.46
14,hard,10,split,-17.28
12,hard,10,split,-18.06
10,hard,10,split,-18.97
8,hard,10,split,-16.49
6,hard,10,split,-14.88
4,hard,10,split,-13.87
2,hard,10,split,7.22
20,hard,9,split,-27.15
18,hard,9,split,-2.09
16,hard,9,split,-9.64
14,hard,9,split,-13.47
12,hard,9,split,-15.15
10,hard,9,split,-15.08
8,hard,9,split,-12.11
6,hard,9,split,-10.36
4,hard,9,split,-9.13
2,hard,9,split,10.1
20,hard,8,split,-15.99
18,hard,8,split,5.0
16,hard,8,split,-0.62
14,hard,8,split,-9.38
12,hard,8,split,-10.44
10,hard,8,split,-10.5
8,hard,8,split,-7.75
6,hard,8,split,-5.65
4,hard,8,split,-4.45
2,hard,8,split,13.18
20,hard,7,split,-7.22
18,hard,7,split,6.83
16,hard,7,split,7.61
14,hard,7,split,-1.3
12,hard,7,split,-7.14
10,hard,7,split,-7.6
8,hard,7,split,-4.36
6,hard,7,split,-1.46
4,hard,7,split,-0.19
2,hard,7,split,15.7
20,hard,6,split,6.22
18,hard,6,split,12.18
16,hard,6,split,10.15
14,hard,6,split,7.94
12,hard,6,split,7.42
10,hard,6,split,5.22
8,hard,6,split,7.87
6,hard,6,split,8.54
4,hard,6,split,9.09
2,hard,6,split,20.14
20,hard,5,split,-1.02
18,hard,5,split,8.96
16,hard,5,split,7.25
14,hard,5,split,3.32
12,hard,5,split,2.12
10,hard,5,split,-0.09
8,hard,5,split,2.27
6,hard,5,split,3.15
4,hard,5,split,4.03
2,hard,5,split,18.0
20,hard,4,split,-4.04
18,hard,4,split,7.54
16,hard,4,split,5.24
14,hard,4,split,1.54
12,hard,4,split,0.03
10,hard,4,split,-2.01
8,hard,4,split,0.33
6,hard,4,split,1.45
4,hard,4,split,2.31
2,hard,4,split,17.4
20,hard,3,split,-6.73
18,hard,3,split,5.65
16,hard,3,split,3.55
14,hard,3,split,-0.61
12,hard,3,split,-1.96
10,hard,3,split,-4.04
8,hard,3,split,-1.96
6,hard,3,split,-0.76
4,hard,3,split,-0.01
2,hard,3,split,16.01
20,hard,2,split,-10.02
18,hard,2,split,4.29
16,hard,2,split,1.88
14,hard,2,split,-2.46
12,hard,2,split,-4.27
10,hard,2,split,-6.17
8,hard,2,split,-3.68
6,hard,2,split,-2.52
4,hard,2,split,-1.6
2,hard,2,split,15.14
