player hand total,player hand texture,dealer face up,player choice,expected value
20,hard,11,stand,2.56
20,hard,11,hit,-22.66
20,hard,11,double,-37.35
20,hard,11,surrender,-16.35
19,hard,11,stand,-4.47
19,hard,11,hit,-20.4
19,hard,11,double,-32.86
19,hard,11,surrender,-16.38
18,hard,11,stand,-11.7
18,hard,11,hit,-18.7
18,hard,11,double,-30.06
18,hard,11,surrender,-16.34
17,hard,11,stand,-16.65
17,hard,11,hit,-17.68
17,hard,11,double,-27.97
17,hard,11,surrender,-16.4
16,hard,11,stand,-17.98
16,hard,11,hit,-17.13
16,hard,11,double,-26.62
16,hard,11,surrender,-16.31
15,hard,11,stand,-17.96
15,hard,11,hit,-16.55
15,hard,11,double,-25.21
15,hard,11,surrender,-16.32
14,hard,11,stand,-18.06
14,hard,11,hit,-15.64
14,hard,11,double,-24.3
14,hard,11,surrender,-16.38
13,hard,11,stand,-17.86
13,hard,11,hit,-15.02
13,hard,11,double,-23.34
13,hard,11,surrender,-16.37
12,hard,11,stand,-18.19
12,hard,11,hit,-14.43
12,hard,11,double,-22.14
12,hard,11,surrender,-16.34
11,hard,11,stand,-18.0
11,hard,11,hit,-5.7
11,hard,11,double,-6.0
11,hard,11,surrender,-16.42
10,hard,11,stand,-18.01
10,hard,11,hit,-6.98
10,hard,11,double,-8.33
10,hard,11,surrender,-16.31
20,soft,11,stand,2.54
20,soft,11,hit,-7.03
20,soft,11,double,-8.55
20,soft,11,surrender,-16.32
19,soft,11,stand,-4.43
19,soft,11,hit,-8.84
19,soft,11,double,-11.63
19,soft,11,surrender,-16.36
18,soft,11,stand,-11.6
18,soft,11,hit,-10.45
18,soft,11,double,-14.87
18,soft,11,surrender,-16.34
17,soft,11,stand,-16.46
17,soft,11,hit,-11.45
17,soft,11,double,-17.21
17,soft,11,surrender,-16.34
16,soft,11,stand,-18.06
16,soft,11,hit,-11.53
16,soft,11,double,-18.08
16,soft,11,surrender,-16.35
15,soft,11,stand,-17.93
15,soft,11,hit,-10.7
15,soft,11,double,-17.59
15,soft,11,surrender,-16.37
14,soft,11,stand,-18.0
14,soft,11,hit,-9.88
14,soft,11,double,-17.97
14,soft,11,surrender,-16.36
13,soft,11,stand,-18.0
13,soft,11,hit,-9.43
13,soft,11,double,-17.7
13,soft,11,surrender,-16.34
12,soft,11,stand,-18.09
12,soft,11,hit,-8.63
12,soft,11,double,-17.82
12,soft,11,surrender,-16.36
9,hard,11,stand,-17.99
9,hard,11,hit,-9.78
9,hard,11,double,-15.44
9,hard,11,surrender,-16.32
8,hard,11,stand,-17.91
8,hard,11,hit,-12.38
8,hard,11,double,-22.01
8,hard,11,surrender,-16.33
7,hard,11,stand,-17.99
7,hard,11,hit,-13.87
7,hard,11,double,-26.6
7,hard,11,surrender,-16.31
6,hard,11,stand,-18.05
6,hard,11,hit,-13.49
6,hard,11,double,-28.11
6,hard,11,surrender,-16.31
5,hard,11,stand,-18.01
5,hard,11,hit,-13.07
5,hard,11,double,-28.42
5,hard,11,surrender,-16.31
4,hard,11,stand,-18.07
4,hard,11,hit,-12.75
4,hard,11,double,-28.13
4,hard,11,surrender,-16.34
20,hard,10,stand,10.9
20,hard,10,hit,-21.44
20,hard,10,double,-41.2
20,hard,10,surrender,-13.43
19,hard,10,stand,-0.47
19,hard,10,hit,-18.76
19,hard,10,double,-35.34
19,hard,10,surrender,-13.48
18,hard,10,stand,-5.95
18,hard,10,hit,-16.79
18,hard,10,double,-31.62
18,hard,10,surrender,-13.46
17,hard,10,stand,-11.69
17,hard,10,hit,-15.42
17,hard,10,double,-28.91
