player hand total,player hand texture,dealer face up,player choice,expected value
20,hard,11,stand,2.31
20,hard,11,surrender,-16.3
20,hard,11,double,-37.3
20,hard,11,hit,-22.4
19,hard,11,stand,-4.44
19,hard,11,double,-33.39
19,hard,11,surrender,-16.35
19,hard,11,hit,-20.43
18,hard,11,surrender,-16.31
18,hard,11,stand,-11.83
18,hard,11,hit,-18.76
18,hard,11,double,-29.74
17,hard,11,surrender,-16.27
17,hard,11,double,-28.13
17,hard,11,hit,-17.79
17,hard,11,stand,-16.52
16,hard,11,surrender,-16.37
16,hard,11,stand,-18.01
16,hard,11,hit,-16.84
16,hard,11,double,-26.23
15,hard,11,stand,-18.3
15,hard,11,hit,-16.8
15,hard,11,double,-25.57
15,hard,11,surrender,-16.35
14,hard,11,surrender,-16.36
14,hard,11,hit,-15.95
14,hard,11,stand,-18.2
14,hard,11,double,-24.0
13,hard,11,double,-23.25
13,hard,11,stand,-18.24
13,hard,11,surrender,-16.33
13,hard,11,hit,-15.23
12,hard,11,double,-21.77
12,hard,11,hit,-14.43
12,hard,11,surrender,-16.29
12,hard,11,stand,-17.86
11,hard,11,stand,-17.95
11,hard,11,surrender,-16.33
11,hard,11,double,-5.41
11,hard,11,hit,-5.82
10,hard,11,stand,-18.14
10,hard,11,surrender,-16.27
10,hard,11,hit,-7.03
10,hard,11,double,-8.23
20,soft,11,double,-8.84
20,soft,11,surrender,-16.32
20,soft,11,hit,-6.79
20,soft,11,stand,2.83
19,soft,11,surrender,-16.35
19,soft,11,double,-11.79
19,soft,11,stand,-4.26
19,soft,11,hit,-8.67
18,soft,11,surrender,-16.39
18,soft,11,double,-14.68
18,soft,11,hit,-10.12
18,soft,11,stand,-11.48
17,soft,11,surrender,-16.47
17,soft,11,stand,-16.66
17,soft,11,hit,-11.34
17,soft,11,double,-16.81
16,soft,11,surrender,-16.28
16,soft,11,double,-18.24
16,soft,11,stand,-17.85
16,soft,11,hit,-11.76
15,soft,11,stand,-17.75
15,soft,11,surrender,-16.32
15,soft,11,hit,-10.83
15,soft,11,double,-18.14
14,soft,11,double,-17.49
14,soft,11,surrender,-16.39
14,soft,11,hit,-10.66
14,soft,11,stand,-17.95
13,soft,11,double,-17.7
13,soft,11,surrender,-16.34
13,soft,11,hit,-9.61
13,soft,11,stand,-18.12
12,soft,11,surrender,-16.27
12,soft,11,stand,-17.97
12,soft,11,hit,-8.6
12,soft,11,double,-18.16
9,hard,11,surrender,-16.22
9,hard,11,stand,-17.89
9,hard,11,double,-15.53
9,hard,11,hit,-9.96
8,hard,11,surrender,-16.26
8,hard,11,stand,-18.16
8,hard,11,hit,-12.13
8,hard,11,double,-22.13
7,hard,11,surrender,-16.31
7,hard,11,double,-26.79
7,hard,11,stand,-17.85
7,hard,11,hit,-13.97
6,hard,11,double,-28.2
6,hard,11,surrender,-16.32
6,hard,11,stand,-18.0
6,hard,11,hit,-13.79
5,hard,11,surrender,-16.39
5,hard,11,double,-27.64
5,hard,11,stand,-18.07
5,hard,11,hit,-13.1
4,hard,11,surrender,-16.31
4,hard,11,double,-28.88
4,hard,11,hit,-12.74
4,hard,11,stand,-18.14
20,hard,10,surrender,-13.48
20,hard,10,stand,11.02
20,hard,10,double,-41.04
20,hard,10,hit,-21.57
19,hard,10,surrender,-13.47
19,hard,10,stand,-0.36
19,hard,10,double,-35.43
19,hard,10,hit,-18.68
18,hard,10,stand,-5.93
18,hard,10,double,-31.48
18,hard,10,surrender,-13.45
18,hard,10,hit,-16.79
17,hard,10,double,-28.41
17,hard,10,surrender,-13.45
17,hard,10,hit,-15.4
17,hard,10,stand,-11.36
16,hard,10,surrender,-13.46
16,hard,10,hit,-14.46
16,hard,10,stand,-14.41
16,hard,10,double,-26.34
15,hard,10,stand,-14.03
15,hard,10,double,-25.42
15,hard,10,surrender,-13.47
15,hard,10,hit,-13.52
14,hard,10,surrender,-13.47
14,hard,10,stand,-14.33
14,hard,10,hit,-12.7
14,hard,10,double,-23.98
13,hard,10,stand,-14.46
13,hard,10,surrender,-13.44
13,hard,10,double,-21.86
13,hard,10,hit,-11.78
12,hard,10,surrender,-13.49
12,hard,10,stand,-14.72
12,hard,10,double,-19.62
12,hard,10,hit,-10.77
11,hard,10,stand,-14.72
11,hard,10,double,1.62
11,hard,10,surrender,-13.47
11,hard,10,hit,0.88
10,hard,10,double,-1.69
10,hard,10,stand,-14.28
10,hard,10,hit,-1.39
10,hard,10,surrender,-13.47
20,soft,10,stand,10.82
20,soft,10,surrender,-13.46
20,soft,10,double,-2.72
20,soft,10,hit,-1.31
19,soft,10,surrender,-13.43
19,soft,10,double,-7.61
19,soft,10,stand,-0.59
19,soft,10,hit,-4.36
18,soft,10,surrender,-13.48
18,soft,10,double,-10.31
18,soft,10,hit,-5.32
18,soft,10,stand,-6.05
17,soft,10,surrender,-13.42
17,soft,10,stand,-11.52
17,soft,10,hit,-6.16
17,soft,10,double,-12.71
16,soft,10,stand,-14.5
16,soft,10,hit,-6.59
16,soft,10,surrender,-13.5
16,soft,10,double,-13.79
15,soft,10,stand,-14.19
15,soft,10,surrender,-13.47
15,soft,10,hit,-6.18
15,soft,10,double,-14.15
14,soft,10,surrender,-13.51
14,soft,10,stand,-14.44
14,soft,10,hit,-4.88
14,soft,10,double,-14.28
13,soft,10,surrender,-13.44
13,soft,10,double,-14.22
13,soft,10,stand,-14.23
13,soft,10,hit,-4.32
12,soft,10,surrender,-13.53
12,soft,10,stand,-14.46
12,soft,10,hit,-3.65
12,soft,10,double,-13.3
9,hard,10,double,-12.45
9,hard,10,surrender,-13.48
9,hard,10,hit,-5.13
9,hard,10,stand,-14.62
8,hard,10,surrender,-13.43
8,hard,10,double,-19.34
8,hard,10,hit,-7.38
8,hard,10,stand,-14.46
7,hard,10,surrender,-13.38
7,hard,10,double,-24.49
7,hard,10,stand,-14.18
7,hard,10,hit,-8.94
6,hard,10,hit,-9.78
6,hard,10,double,-26.16
6,hard,10,surrender,-13.45
6,hard,10,stand,-14.51
5,hard,10,double,-26.97
5,hard,10,surrender,-13.47
5,hard,10,stand,-14.21
5,hard,10,hit,-9.27
4,hard,10,double,-26.93
4,hard,10,surrender,-13.55
4,hard,10,stand,-14.03
4,hard,10,hit,-8.66
20,hard,9,surrender,-12.5
20,hard,9,hit,-21.25
20,hard,9,stand,19.02
20,hard,9,double,-42.58
19,hard,9,double,-35.31
19,hard,9,stand,7.07
19,hard,9,surrender,-12.5
19,hard,9,hit,-17.85
18,hard,9,stand,-4.58
18,hard,9,hit,-15.18
18,hard,9,surrender,-12.5
18,hard,9,double,-29.76
17,hard,9,surrender,-12.5
17,hard,9,double,-27.71
17,hard,9,hit,-13.9
17,hard,9,stand,-10.15
16,hard,9,hit,-12.59
16,hard,9,stand,-13.77
16,hard,9,double,-26.32
16,hard,9,surrender,-12.5
15,hard,9,surrender,-12.5
15,hard,9,stand,-13.65
15,hard,9,hit,-11.81
15,hard,9,double,-22.68
14,hard,9,stand,-13.84
14,hard,9,double,-22.05
14,hard,9,surrender,-12.5
14,hard,9,hit,-10.31
13,hard,9,surrender,-12.5
13,hard,9,double,-20.84
13,hard,9,stand,-13.5
13,hard,9,hit,-9.88
12,hard,9,stand,-13.24
12,hard,9,surrender,-12.5
12,hard,9,double,-18.61
12,hard,9,hit,-8.66
11,hard,9,surrender,-12.5
11,hard,9,stand,-13.63
11,hard,9,double,5.54
11,hard,9,hit,3.44
10,hard,9,stand,-13.62
10,hard,9,hit,2.74
10,hard,9,surrender,-12.5
10,hard,9,double,3.46
20,soft,9,double,3.54
20,soft,9,stand,18.91
20,soft,9,surrender,-12.5
20,soft,9,hit,2.88
19,soft,9,surrender,-12.5
19,soft,9,double,-1.48
19,soft,9,stand,6.96
19,soft,9,hit,0.23
18,soft,9,surrender,-12.5
18,soft,9,stand,-4.43
18,soft,9,double,-7.21
18,soft,9,hit,-2.52
17,soft,9,surrender,-12.5
17,soft,9,stand,-10.31
17,soft,9,double,-10.09
17,soft,9,hit,-3.78
16,soft,9,surrender,-12.5
16,soft,9,double,-11.63
16,soft,9,hit,-3.69
16,soft,9,stand,-13.06
15,soft,9,surrender,-12.5
15,soft,9,hit,-3.0
15,soft,9,stand,-13.46
15,soft,9,double,-11.58
14,soft,9,surrender,-12.5
14,soft,9,double,-12.56
14,soft,9,stand,-13.43
14,soft,9,hit,-1.52
13,soft,9,surrender,-12.5
13,soft,9,stand,-13.56
13,soft,9,double,-11.42
13,soft,9,hit,-0.91
12,soft,9,surrender,-12.5
12,soft,9,stand,-13.45
12,soft,9,hit,-0.04
12,soft,9,double,-9.97
9,hard,9,stand,-13.17
9,hard,9,hit,-1.25
9,hard,9,surrender,-12.5
9,hard,9,double,-7.69
8,hard,9,double,-18.5
8,hard,9,stand,-13.22
8,hard,9,surrender,-12.5
8,hard,9,hit,-5.46
7,hard,9,double,-23.58
7,hard,9,hit,-6.45
7,hard,9,stand,-13.3
7,hard,9,surrender,-12.5
6,hard,9,surrender,-12.5
6,hard,9,stand,-13.62
6,hard,9,double,-25.96
6,hard,9,hit,-7.61
5,hard,9,double,-27.33
5,hard,9,surrender,-12.5
5,hard,9,stand,-13.63
5,hard,9,hit,-6.67
4,hard,9,stand,-13.79
4,hard,9,double,-27.32
4,hard,9,hit,-6.03
4,hard,9,surrender,-12.5
20,hard,8,double,-42.12
20,hard,8,surrender,-12.5
20,hard,8,hit,-21.28
20,hard,8,stand,19.48
19,hard,8,double,-35.78
19,hard,8,stand,14.82
19,hard,8,hit,-17.95
19,hard,8,surrender,-12.5
18,hard,8,surrender,-12.5
18,hard,8,double,-28.64
18,hard,8,hit,-14.9
18,hard,8,stand,2.46
17,hard,8,hit,-12.58
17,hard,8,surrender,-12.5
17,hard,8,stand,-9.29
17,hard,8,double,-24.21
16,hard,8,surrender,-12.5
16,hard,8,double,-22.88
16,hard,8,stand,-12.78
16,hard,8,hit,-11.69
15,hard,8,double,-20.05
15,hard,8,stand,-12.16
15,hard,8,surrender,-12.5
15,hard,8,hit,-10.47
14,hard,8,double,-18.84
14,hard,8,surrender,-12.5
14,hard,8,stand,-12.73
14,hard,8,hit,-9.3
13,hard,8,stand,-12.77
13,hard,8,surrender,-12.5
13,hard,8,double,-17.16
13,hard,8,hit,-8.2
12,hard,8,surrender,-12.5
12,hard,8,stand,-13.21
12,hard,8,hit,-7.12
12,hard,8,double,-14.87
11,hard,8,surrender,-12.5
11,hard,8,double,9.07
11,hard,8,hit,6.23
11,hard,8,stand,-12.77
10,hard,8,surrender,-12.5
10,hard,8,double,8.12
10,hard,8,hit,5.12
10,hard,8,stand,-12.7
20,soft,8,double,6.78
20,soft,8,surrender,-12.5
20,soft,8,hit,4.89
20,soft,8,stand,19.79
19,soft,8,surrender,-12.5
19,soft,8,double,4.72
19,soft,8,hit,3.66
19,soft,8,stand,14.62
18,soft,8,surrender,-12.5
18,soft,8,hit,0.93
18,soft,8,double,-0.41
18,soft,8,stand,2.56
17,soft,8,surrender,-12.5
17,soft,8,stand,-9.64
17,soft,8,hit,-1.62
17,soft,8,double,-6.86
16,soft,8,surrender,-12.5
16,soft,8,double,-8.24
16,soft,8,stand,-12.54
16,soft,8,hit,-1.34
15,soft,8,surrender,-12.5
15,soft,8,stand,-12.57
15,soft,8,double,-8.09
15,soft,8,hit,-0.91
14,soft,8,surrender,-12.5
14,soft,8,stand,-12.24
14,soft,8,hit,-0.07
14,soft,8,double,-8.29
13,soft,8,double,-7.86
13,soft,8,surrender,-12.5
13,soft,8,stand,-12.59
13,soft,8,hit,1.39
12,soft,8,stand,-12.71
12,soft,8,double,-8.68
12,soft,8,hit,2.51
12,soft,8,surrender,-12.5
9,hard,8,surrender,-12.5
9,hard,8,double,-0.7
9,hard,8,stand,-12.81
9,hard,8,hit,2.38
8,hard,8,hit,-1.59
8,hard,8,stand,-12.47
8,hard,8,surrender,-12.5
8,hard,8,double,-10.97
7,hard,8,double,-21.48
7,hard,8,stand,-12.68
7,hard,8,hit,-5.32
7,hard,8,surrender,-12.5
6,hard,8,surrender,-12.5
6,hard,8,double,-25.17
6,hard,8,stand,-12.82
6,hard,8,hit,-5.8
5,hard,8,surrender,-12.5
5,hard,8,stand,-12.62
5,hard,8,double,-25.58
5,hard,8,hit,-5.05
4,hard,8,stand,-12.71
4,hard,8,surrender,-12.5
4,hard,8,double,-25.67
4,hard,8,hit,-4.09
20,hard,7,surrender,-12.5
20,hard,7,stand,19.46
20,hard,7,double,-42.02
20,hard,7,hit,-21.09
19,hard,7,hit,-17.78
19,hard,7,stand,15.32
19,hard,7,surrender,-12.5
19,hard,7,double,-34.93
18,hard,7,hit,-15.04
18,hard,7,surrender,-12.5
18,hard,7,stand,9.72
18,hard,7,double,-29.92
17,hard,7,surrender,-12.5
17,hard,7,stand,-2.68
17,hard,7,hit,-12.27
17,hard,7,double,-24.16
16,hard,7,surrender,-12.5
16,hard,7,double,-21.04
16,hard,7,stand,-12.29
16,hard,7,hit,-10.13
15,hard,7,surrender,-12.5
15,hard,7,stand,-11.61
15,hard,7,hit,-9.33
15,hard,7,double,-18.99
14,hard,7,double,-17.54
14,hard,7,surrender,-12.5
14,hard,7,stand,-11.88
14,hard,7,hit,-8.26
13,hard,7,surrender,-12.5
13,hard,7,hit,-6.63
13,hard,7,double,-14.31
13,hard,7,stand,-12.18
12,hard,7,hit,-5.42
12,hard,7,surrender,-12.5
12,hard,7,stand,-11.89
12,hard,7,double,-12.96
11,hard,7,double,12.4
11,hard,7,hit,6.88
11,hard,7,stand,-11.87
11,hard,7,surrender,-12.5
10,hard,7,surrender,-12.5
10,hard,7,stand,-11.61
10,hard,7,double,9.56
10,hard,7,hit,6.61
20,soft,7,double,9.78
20,soft,7,surrender,-12.5
20,soft,7,stand,19.41
20,soft,7,hit,6.83
19,soft,7,stand,15.48
19,soft,7,surrender,-12.5
19,soft,7,hit,5.55
19,soft,7,double,8.38
18,soft,7,surrender,-12.5
18,soft,7,hit,4.36
18,soft,7,stand,10.06
18,soft,7,double,5.6
17,soft,7,surrender,-12.5
17,soft,7,stand,-2.47
17,soft,7,hit,1.64
17,soft,7,double,-0.32
16,soft,7,stand,-12.06
16,soft,7,surrender,-12.5
16,soft,7,double,-4.15
16,soft,7,hit,-0.11
15,soft,7,stand,-12.16
15,soft,7,double,-4.08
15,soft,7,surrender,-12.5
15,soft,7,hit,1.05
14,soft,7,surrender,-12.5
14,soft,7,stand,-11.97
14,soft,7,double,-4.9
14,soft,7,hit,2.21
13,soft,7,surrender,-12.5
13,soft,7,double,-4.33
13,soft,7,hit,3.4
13,soft,7,stand,-11.83
12,soft,7,double,-4.85
12,soft,7,hit,3.98
12,soft,7,surrender,-12.5
12,soft,7,stand,-11.55
9,hard,7,surrender,-12.5
9,hard,7,stand,-11.8
9,hard,7,double,2.08
9,hard,7,hit,4.46
8,hard,7,stand,-11.79
8,hard,7,surrender,-12.5
8,hard,7,double,-4.79
8,hard,7,hit,1.95
7,hard,7,stand,-11.86
7,hard,7,surrender,-12.5
7,hard,7,double,-14.01
7,hard,7,hit,-1.8
6,hard,7,double,-22.35
6,hard,7,surrender,-12.5
6,hard,7,stand,-11.67
6,hard,7,hit,-4.12
5,hard,7,surrender,-12.5
5,hard,7,double,-23.24
5,hard,7,stand,-11.55
5,hard,7,hit,-3.23
4,hard,7,stand,-11.44
4,hard,7,double,-22.98
4,hard,7,surrender,-12.5
4,hard,7,hit,-2.73
20,hard,6,stand,16.75
20,hard,6,hit,-21.2
20,hard,6,double,-42.25
20,hard,6,surrender,-12.5
19,hard,6,stand,11.29
