player hand total,player hand texture,dealer face up,player choice,expected value
20,split,11,split,-21.06
18,split,11,split,-12.25
16,split,11,split,-17.17
14,split,11,split,-20.86
12,split,11,split,-20.15
10,split,11,split,-21.68
8,split,11,split,-18.34
6,split,11,split,-17.97
4,split,11,split,-16.31
2,split,11,split,-5.65
20,split,10,split,-19.42
18,split,10,split,-8.25
16,split,10,split,-12.48
14,split,10,split,-16.25
12,split,10,split,-18.08
10,split,10,split,-18.92
8,split,10,split,-15.85
6,split,10,split,-13.45
4,split,10,split,-13.75
2,split,10,split,1.98
20,split,9,split,-15.14
18,split,9,split,-1.74
16,split,9,split,-9.2
14,split,9,split,-14.38
12,split,9,split,-14.63
10,split,9,split,-15.49
8,split,9,split,-12.67
6,split,9,split,-9.78
4,split,9,split,-9.73
2,split,9,split,5.63
20,split,8,split,-6.39
18,split,8,split,5.79
16,split,8,split,-0.85
14,split,8,split,-10.07
12,split,8,split,-10.06
10,split,8,split,-10.88
8,split,8,split,-7.16
6,split,8,split,-5.92
4,split,8,split,-3.25
2,split,8,split,8.8
20,split,7,split,2.45
18,split,7,split,9.27
16,split,7,split,7.63
14,split,7,split,-1.14
12,split,7,split,-6.42
10,split,7,split,-7.3
8,split,7,split,-3.81
6,split,7,split,-0.86
4,split,7,split,-0.16
2,split,7,split,11.21
20,split,6,split,7.42
18,split,6,split,11.26
16,split,6,split,9.14
14,split,6,split,6.21
12,split,6,split,4.98
10,split,6,split,2.54
8,split,6,split,5.38
6,split,6,split,6.83
4,split,6,split,8.61
2,split,6,split,17.3
20,split,5,split,7.33
18,split,5,split,9.21
16,split,5,split,7.53
14,split,5,split,3.96
12,split,5,split,2.12
10,split,5,split,2.35
8,split,5,split,3.4
6,split,5,split,4.75
4,split,5,split,3.81
2,split,5,split,16.03
20,split,4,split,3.61
18,split,4,split,7.08
16,split,4,split,4.29
14,split,4,split,2.29
12,split,4,split,-0.75
10,split,4,split,-1.9
8,split,4,split,0.21
6,split,4,split,1.74
4,split,4,split,2.92
2,split,4,split,14.55
20,split,3,split,-0.83
18,split,3,split,6.22
16,split,3,split,3.8
14,split,3,split,-0.81
12,split,3,split,-2.3
10,split,3,split,-4.21
8,split,3,split,-2.24
6,split,3,split,-0.97
4,split,3,split,1.05
2,split,3,split,13.67
20,split,2,split,-1.6
18,split,2,split,4.2
16,split,2,split,1.17
14,split,2,split,-3.86
12,split,2,split,-5.3
10,split,2,split,-6.87
8,split,2,split,-2.6
6,split,2,split,-2.97
4,split,2,split,-1.2
2,split,2,split,12.6
